Status,Date,Start_Time,End_Time,Duration,Alert,Reason,Issue,Comment,id,equipment_name,created_at
ACTIVE,2025-09-23,16:50:57,16:52:27,2,No,-,-,-,046ec5a5-4887-4118-a829-63df51bdb8a5,IMA T19,2025-10-01 03:24:25.640136+00
INACTIVE,2025-09-18,20:54:45,21:56:29,62,Yes,-,-,-,04774672-6142-43bc-a089-f1530ee39da0,IMA E06,2025-10-01 03:24:30.005057+00
ACTIVE,2025-09-29,07:56:26,08:08:56,12,No,-,-,-,048731e5-a9c3-4ea2-ae44-1db32b8b4471,IMA T19,2025-10-01 03:24:27.585911+00
ACTIVE,2025-09-19,15:33:48,15:47:18,14,No,-,-,-,04b02535-fe3b-4a3c-abe2-af8ad3f0e2ff,IMA T19,2025-10-01 03:24:23.908734+00
ACTIVE,2025-09-24,15:41:09,15:44:09,3,No,-,-,-,04cbc87b-c927-4c02-bf53-076e98a818ec,IMA T19,2025-10-01 03:24:25.640136+00
INACTIVE,2025-09-15,13:10:05,13:11:09,1,No,-,-,-,04fba870-b2f4-4d47-90c6-ae01884a4b9a,IMA T19,2025-10-01 03:24:22.074365+00
ACTIVE,2025-09-17,14:07:24,14:27:44,20,No,-,-,-,04fe2aec-fa8b-4431-a601-2c2782f95bbc,IMA T19,2025-10-01 03:24:22.877579+00
INACTIVE,2025-09-26,10:40:10,10:41:15,1,No,-,-,-,0510bd8a-1c1b-439d-91be-b3fb961c5f9c,IMA E06,2025-10-01 03:24:33.059588+00
ACTIVE,2025-09-25,19:53:05,19:54:05,1,No,-,-,-,05138630-dfee-49b0-a4f2-2be1417be93a,IMA T19,2025-10-01 03:24:26.172856+00
INACTIVE,2025-09-19,19:59:58,20:01:08,1,No,-,-,-,0519fbf8-79e1-44d3-887f-385cdfb1d8ff,IMA E06,2025-10-01 03:24:30.437349+00
INACTIVE,2025-09-18,23:22:24,00:00:00,38,No,-,-,-,051c3992-b575-486f-a284-daa632971bea,IMA T19,2025-10-01 03:24:23.908734+00
ACTIVE,2025-09-20,19:50:42,19:54:12,4,No,-,-,-,052f2b18-6c24-47d8-aef3-ee9a43950172,IMA T19,2025-10-01 03:24:24.504481+00
ACTIVE,2025-09-22,18:32:29,19:00:59,28,No,-,-,-,05455102-9c52-40b0-92b6-ae7d3b4db777,IMA T19,2025-10-01 03:24:25.118773+00
ACTIVE,2025-09-27,12:48:35,12:58:35,10,No,-,-,-,05545579-977a-48b5-9ee8-9d51d768c280,IMA T19,2025-10-01 03:24:26.969994+00
ACTIVE,2025-09-27,23:00:08,23:01:38,2,No,-,-,-,05657de6-e538-48ef-8183-03cc7f825a41,IMA E06,2025-10-01 03:24:33.48849+00
ACTIVE,2025-09-20,22:49:35,22:58:35,9,No,-,-,-,05ad42c4-737a-4db5-8875-656a672e60a3,IMA E06,2025-10-01 03:24:30.866611+00
INACTIVE,2025-09-16,05:56:25,06:06:00,10,Yes,Drive & Transmission (Belts/Chains/Gears),639 Rotoy sealer belt damage,This is a test for duplication 103,05b641fc-2da1-4a21-be4a-2713032584a1,IMA E06,2025-10-01 03:24:29.128339+00
ACTIVE,2025-09-17,18:29:04,18:32:34,4,No,-,-,-,06113a35-e5bf-42ca-b798-d1b0494f7823,IMA E06,2025-10-01 03:24:29.576452+00
ACTIVE,2025-09-18,00:32:36,00:46:06,14,No,-,-,-,06168977-4b50-4be1-8efa-e4c6012baea7,IMA E06,2025-10-01 03:24:29.576452+00
ACTIVE,2025-09-24,09:37:17,09:38:47,2,No,-,-,-,06279d4c-531a-4299-a5e9-bde58ac3fcc5,IMA E06,2025-10-01 03:24:32.188922+00
INACTIVE,2025-09-29,13:03:06,13:04:11,1,No,-,-,-,0659823f-5021-422e-8f71-479cb93f60bb,IMA E06,2025-10-01 03:24:33.928006+00
ACTIVE,2025-09-27,13:15:45,14:37:15,82,No,-,-,-,065a4272-9794-41f2-be10-7370ad4d45fe,IMA T19,2025-10-01 03:24:26.969994+00
ACTIVE,2025-09-15,14:27:45,14:49:15,22,No,-,-,-,065a4b73-bf7b-47de-bfaf-9326b2ecbd73,IMA E06,2025-10-01 03:24:28.642092+00
ACTIVE,2025-09-24,00:32:33,00:49:03,16,No,-,-,-,068df662-2e41-4505-b6e6-1037fe0da004,IMA E06,2025-10-01 03:24:31.74892+00
ACTIVE,2025-09-19,08:11:02,08:27:02,16,No,-,-,-,06e210ed-dfaf-4851-91aa-caa35670eaaf,IMA T19,2025-10-01 03:24:23.908734+00
ACTIVE,2025-09-27,01:47:11,01:56:41,10,No,-,-,-,06eba002-5461-480e-9586-530121dc8751,IMA E06,2025-10-01 03:24:33.48849+00
ACTIVE,2025-09-27,08:43:22,08:47:52,4,No,-,-,-,0732edc7-5da2-4d2d-a040-2cacae217c1e,IMA T19,2025-10-01 03:24:26.969994+00
INACTIVE,2025-09-29,16:12:58,16:13:58,1,Yes,-,-,-,0748e5a5-a5bb-4aa3-ae35-ebe5fdd26a22,IMA E06,2025-10-01 03:24:34.339012+00
ACTIVE,2025-09-29,13:25:41,13:33:41,8,No,-,-,-,074c4931-0cbe-437e-adeb-5f933b8dfec5,IMA T19,2025-10-01 03:24:27.585911+00
ACTIVE,2025-09-25,14:06:09,14:53:09,47,No,-,-,-,074ea4ed-79f7-4541-85d6-252e90ddf4db,IMA T19,2025-10-01 03:24:26.172856+00
INACTIVE,2025-09-23,18:05:18,18:07:01,2,Yes,Material Shortage,304 No envelope,-,075ad32d-3d5d-42ef-ada8-32a884527163,IMA E06,2025-10-01 03:24:31.74892+00
ACTIVE,2025-09-20,03:07:07,03:08:07,1,No,-,-,-,076f71b2-98ab-4321-bf96-3bcf61c8b83d,IMA E06,2025-10-01 03:24:30.437349+00
ACTIVE,2025-09-16,06:44:20,07:04:50,20,No,-,-,-,078daabe-6df3-4930-acbb-2fbdde439b16,IMA E06,2025-10-01 03:24:29.128339+00
ACTIVE,2025-09-22,10:04:50,10:44:20,40,No,-,-,-,07930dcd-9977-4b96-84c6-5609b366b29a,IMA T19,2025-10-01 03:24:25.118773+00
ACTIVE,2025-09-22,19:26:54,19:27:54,1,No,-,-,-,079be932-688b-415e-8e80-f06dac8f765c,IMA T19,2025-10-01 03:24:25.118773+00
INACTIVE,2025-09-26,00:00:00,06:10:54,371,Yes,Admin,128 Daily CLIRT,-,07cde6d6-d3a9-4c71-874b-fb1205de52e2,IMA T19,2025-10-01 03:24:26.172856+00
ACTIVE,2025-09-27,12:16:15,12:33:15,17,No,-,-,-,07d205dd-d750-4953-b49b-cce27a65c34d,IMA T19,2025-10-01 03:24:26.969994+00
ACTIVE,2025-09-18,03:15:12,03:23:12,8,No,-,-,-,07e44f39-948b-4ef0-b51b-726fbc1f0cbf,IMA E06,2025-10-01 03:24:29.576452+00
ACTIVE,2025-09-23,17:21:29,17:33:59,12,No,-,-,-,080cc943-66e6-4e61-a2b9-9d2238f393e5,IMA T19,2025-10-01 03:24:25.640136+00
INACTIVE,2025-09-27,21:00:54,21:02:28,2,No,-,-,-,080f1bb9-674d-4ae8-8139-d168a785838f,IMA T19,2025-10-01 03:24:26.969994+00
ACTIVE,2025-09-18,21:56:12,21:58:12,2,No,-,-,-,081bbe59-a8ce-4f1d-916c-454afedf8cf2,IMA T19,2025-10-01 03:24:23.908734+00
ACTIVE,2025-09-23,20:34:14,20:49:14,15,No,-,-,-,082f8852-d234-4db7-be19-20ec5f0d008b,IMA E06,2025-10-01 03:24:31.74892+00
ACTIVE,2025-09-19,20:12:05,20:29:35,18,No,-,-,-,08424af5-4239-4d5f-a4d9-8925d99d7d1b,IMA E06,2025-10-01 03:24:30.437349+00
INACTIVE,2025-09-17,12:47:49,14:29:25,102,No,-,-,-,0843a3c6-ebbe-44ac-a1bf-b510d31e4db8,IMA E06,2025-10-01 03:24:29.128339+00
ACTIVE,2025-09-16,02:40:38,02:55:08,14,No,-,-,-,084ec182-f108-444d-90e2-e43d4761ee09,IMA E06,2025-10-01 03:24:29.128339+00
ACTIVE,2025-09-24,06:57:13,06:59:43,2,No,-,-,-,08643106-7238-44ec-aa9f-8347b9da792b,IMA E06,2025-10-01 03:24:32.188922+00
INACTIVE,2025-09-23,12:34:53,12:35:58,1,Yes,Packaging / Material Issues,349 Tag dettached from teabag,-,0864e7e3-c14f-4dca-bec9-e1b521608445,IMA E06,2025-10-01 03:24:31.74892+00
ACTIVE,2025-09-18,13:13:21,13:18:21,5,No,-,-,-,0865960a-9d61-4643-8873-9660b667837e,IMA T19,2025-10-01 03:24:23.397716+00
ACTIVE,2025-09-19,14:44:14,14:47:14,3,No,-,-,-,08779c59-edc0-4df4-a394-e93cc9aa4d45,IMA T19,2025-10-01 03:24:23.908734+00
INACTIVE,2025-09-25,16:33:21,16:35:55,3,Yes,Admin,128 Daily CLIRT,-,08a3d353-11ab-403c-a8b2-f26e02f207c9,IMA E06,2025-10-01 03:24:32.624437+00
INACTIVE,2025-09-23,05:21:48,05:54:23,33,No,-,-,-,08c2d5de-b86e-4f99-b980-ad03555c1ad2,IMA E06,2025-10-01 03:24:31.310218+00
ACTIVE,2025-09-27,17:57:33,18:00:03,2,No,-,-,-,0900d63e-1cf9-4849-916f-623745f11e9e,IMA T19,2025-10-01 03:24:26.969994+00
ACTIVE,2025-09-27,08:48:20,09:48:50,60,No,-,-,-,09563da2-4c95-47ec-b34f-967268f7cbb3,IMA T19,2025-10-01 03:24:26.969994+00
INACTIVE,2025-09-27,00:33:37,00:34:41,1,No,-,-,-,09603c09-39a8-4c8f-8d69-27e7762a6702,IMA E06,2025-10-01 03:24:33.48849+00
ACTIVE,2025-09-29,10:03:46,10:11:46,8,No,-,-,-,096bb454-0ee3-464a-8b0c-9021da677d2d,IMA E06,2025-10-01 03:24:33.928006+00
ACTIVE,2025-09-22,22:56:17,23:18:47,22,No,-,-,-,09745707-18f5-45b3-887d-7d70fe4aa917,IMA T19,2025-10-01 03:24:25.118773+00
INACTIVE,2025-09-19,08:17:44,08:20:01,2,No,-,-,-,09945b55-1a6c-40c3-9468-6be91515a2a9,IMA E06,2025-10-01 03:24:30.005057+00
ACTIVE,2025-09-26,21:14:53,21:35:23,20,No,-,-,-,09ae49b7-4e4a-4ea9-bfc5-1198e830eae5,IMA T19,2025-10-01 03:24:26.969994+00
ACTIVE,2025-09-19,17:41:50,17:50:20,8,No,-,-,-,09af858f-2857-4ea2-bad6-065ceb44fab6,IMA E06,2025-10-01 03:24:30.437349+00
INACTIVE,2025-09-30,18:32:05,18:33:29,1,No,-,-,-,09ee77c5-1f8c-4cc4-b738-48d8fe48c970,IMA T19,2025-10-01 03:24:28.198188+00
INACTIVE,2025-09-25,02:19:03,02:20:38,2,No,-,-,-,0a06554d-7856-453e-a605-2333399bdfaf,IMA E06,2025-10-01 03:24:32.188922+00
INACTIVE,2025-09-22,15:01:28,15:04:02,3,No,-,-,-,0a25773c-3aa6-450b-ad13-225a087a93b1,IMA T19,2025-10-01 03:24:25.118773+00
INACTIVE,2025-09-25,15:46:47,15:50:03,3,No,-,-,-,0a27bc9a-e804-405c-bf1c-4a32c7349b4a,IMA E06,2025-10-01 03:24:32.624437+00
INACTIVE,2025-09-26,15:10:21,15:12:55,3,Yes,-,-,-,0a3ac19d-64ef-4d0d-ba22-6dac65ff4be5,IMA T19,2025-10-01 03:24:26.172856+00
ACTIVE,2025-09-27,07:10:54,07:14:54,4,No,-,-,-,0aa43bd7-5a2f-41c4-aac2-c66c72d2dc34,IMA E06,2025-10-01 03:24:33.48849+00
ACTIVE,2025-09-29,21:24:38,21:37:38,13,No,-,-,-,0aa9f033-68f2-450f-a006-00f231e6fbb6,IMA T19,2025-10-01 03:24:28.198188+00
INACTIVE,2025-09-23,22:53:39,22:54:44,1,No,-,-,-,0ad98cfb-b065-4129-8162-cab22c506c04,IMA E06,2025-10-01 03:24:31.74892+00
INACTIVE,2025-09-29,13:08:49,13:10:25,2,No,-,-,-,0af07c4e-33ab-408d-a952-4f35cdf9c02e,IMA E06,2025-10-01 03:24:33.928006+00
ACTIVE,2025-09-26,16:08:28,17:08:58,60,No,-,-,-,0afb76e0-3e1f-4655-9c75-46613a1dccc8,IMA T19,2025-10-01 03:24:26.969994+00
INACTIVE,2025-09-25,00:42:37,00:57:11,15,Yes,Mechanical General,885 Sample Making,-,0b0a65bb-a464-4fe3-afdd-849f830f96c8,IMA E06,2025-10-01 03:24:32.188922+00
INACTIVE,2025-09-27,06:49:22,06:50:59,2,Yes,Mechanical General,311 Crumpled filter paper,-,0b22b366-28c7-4bd6-bb84-5c0c4afdaad2,IMA T19,2025-10-01 03:24:26.969994+00
ACTIVE,2025-09-18,08:27:48,08:32:18,4,No,-,-,-,0b3df5e3-11ba-42ad-856e-41f77a363eb9,IMA T19,2025-10-01 03:24:23.397716+00
ACTIVE,2025-09-23,23:46:28,23:48:58,2,No,-,-,-,0b43b15d-142b-4891-a62a-c22098eac22f,IMA E06,2025-10-01 03:24:31.74892+00
ACTIVE,2025-09-16,06:17:14,06:18:14,1,No,-,-,-,0b527b04-3ba9-4672-a6c9-aa62b55f3efd,IMA T19,2025-10-01 03:24:22.074365+00
ACTIVE,2025-09-23,00:00:00,00:19:58,20,No,-,-,-,0b5b15a5-6208-49d7-9959-ca0d21cc09d0,IMA E06,2025-10-01 03:24:31.310218+00
INACTIVE,2025-09-27,01:56:59,02:16:35,20,Yes,Admin,143 TEA BREAK,-,0b6b7c88-9a9d-45b0-b09b-661560f4ac26,IMA E06,2025-10-01 03:24:33.48849+00
ACTIVE,2025-09-23,18:42:20,18:54:50,12,No,-,-,-,0b6ff0d5-cf7b-4e13-af15-b5bb4e065ad0,IMA T19,2025-10-01 03:24:25.640136+00
INACTIVE,2025-09-23,19:51:49,19:53:50,2,No,-,-,-,0b71b733-f863-4ce5-ae05-6f3539fa312c,IMA T19,2025-10-01 03:24:25.640136+00
INACTIVE,2025-09-18,15:56:51,15:58:23,2,No,-,-,-,0b7eda93-6674-4602-a57e-0f015c09c985,IMA T19,2025-10-01 03:24:23.397716+00
ACTIVE,2025-09-30,06:47:03,06:56:03,9,No,-,-,-,0b8bfb7e-940d-4f0d-9689-4889bf377c3a,IMA T19,2025-10-01 03:24:28.198188+00
ACTIVE,2025-09-29,17:16:49,17:21:19,4,No,-,-,-,0be8fae2-d63e-4864-950f-41833e834a7e,IMA T19,2025-10-01 03:24:27.585911+00
INACTIVE,2025-09-24,19:55:18,20:59:18,64,Yes,Admin,142 Break time,break for dinner 🍽️,0c013386-fe6a-4248-9586-ce18a6766fd5,IMA T19,2025-10-01 03:24:26.172856+00
ACTIVE,2025-09-23,17:33:10,17:49:40,16,No,-,-,-,0c13ef8c-d0db-4668-80bc-85d33d1d9f0b,IMA E06,2025-10-01 03:24:31.74892+00
ACTIVE,2025-09-26,17:59:24,18:11:24,12,No,-,-,-,0c21d59e-3e4c-4ca8-a8fd-d732f6d0f2a1,IMA E06,2025-10-01 03:24:33.059588+00
ACTIVE,2025-09-19,21:14:16,22:00:46,46,No,-,-,-,0c27a4c7-bcba-4850-878d-890878a2ba0c,IMA T19,2025-10-01 03:24:24.504481+00
INACTIVE,2025-09-17,19:17:13,19:20:47,4,No,-,-,-,0c6ae998-c534-47d3-9614-863f6c234d00,IMA E06,2025-10-01 03:24:29.576452+00
ACTIVE,2025-09-30,18:52:03,18:53:33,2,No,-,-,-,0c75c84e-f564-4566-8019-31810335aeca,IMA T19,2025-10-01 03:24:28.198188+00
ACTIVE,2025-09-23,14:01:10,14:10:10,9,No,-,-,-,0c884527-8eb9-4ef0-8acd-83579a5bd4b2,IMA T19,2025-10-01 03:24:25.640136+00
ACTIVE,2025-09-15,21:16:46,21:24:46,8,No,-,-,-,0ca5eca4-b429-47fd-8c06-b0c0065333d6,IMA E06,2025-10-01 03:24:28.642092+00
ACTIVE,2025-09-26,06:14:30,06:29:00,14,No,-,-,-,0cb8c891-547e-4593-a963-0142ba2f4c13,IMA T19,2025-10-01 03:24:26.172856+00
ACTIVE,2025-09-26,16:42:31,16:53:31,11,No,-,-,-,0cc725cb-b8df-4351-afa9-cb2d1e7e7aa4,IMA E06,2025-10-01 03:24:33.059588+00
INACTIVE,2025-09-23,22:35:44,22:54:37,19,No,-,-,-,0cdbdba7-bac7-4828-a40d-df00cbf8bc08,IMA T19,2025-10-01 03:24:25.640136+00
ACTIVE,2025-09-18,15:06:02,15:07:32,2,No,-,-,-,0d1d5dd1-f4f2-455b-869f-00e87527d805,IMA T19,2025-10-01 03:24:23.397716+00
ACTIVE,2025-09-29,13:51:38,13:53:08,2,No,-,-,-,0d2a6919-1c22-459d-bb21-dae7a63ddaa8,IMA T19,2025-10-01 03:24:27.585911+00
ACTIVE,2025-09-17,10:51:26,10:59:26,8,No,-,-,-,0d32f1fc-9e8f-42e1-8b37-a23a4f1c4547,IMA T19,2025-10-01 03:24:22.877579+00
INACTIVE,2025-09-26,17:24:10,17:25:39,1,Yes,-,-,-,0d3e2f3c-fdf5-4ba2-a28d-3efc5ba57d6c,IMA T19,2025-10-01 03:24:26.969994+00
ACTIVE,2025-09-19,03:23:12,03:31:12,8,No,-,-,-,0d86b88a-2ac4-4f7d-b0eb-2638a4ee860a,IMA E06,2025-10-01 03:24:30.005057+00
ACTIVE,2025-09-26,13:57:22,13:58:22,1,No,-,-,-,0d9deeab-9249-44cf-be97-9e998a467ab5,IMA T19,2025-10-01 03:24:26.172856+00
ACTIVE,2025-09-29,15:02:34,15:07:04,4,No,-,-,-,0dd432cf-205e-4738-8ce0-3d4207c27558,IMA T19,2025-10-01 03:24:27.585911+00
INACTIVE,2025-09-24,10:46:22,12:21:57,96,Yes,Admin,138 Training,-,0ddd32c2-4575-4c90-bbe8-94e1cc174f08,IMA E06,2025-10-01 03:24:32.188922+00
ACTIVE,2025-09-26,19:13:01,19:19:31,6,No,-,-,-,0dea96b2-b834-4e7e-9be2-78e3fa81a7d6,IMA T19,2025-10-01 03:24:26.969994+00
ACTIVE,2025-09-22,22:26:28,22:34:58,8,No,-,-,-,0dfedca6-985c-40dd-bbce-eb2ebdd7dc60,IMA T19,2025-10-01 03:24:25.118773+00
ACTIVE,2025-09-18,04:15:39,04:29:09,14,No,-,-,-,0e0235ed-75d7-45b1-aecc-01a381a8273b,IMA E06,2025-10-01 03:24:29.576452+00
ACTIVE,2025-09-27,19:17:47,19:20:17,2,No,-,-,-,0e03bead-48dd-412d-99e5-e1e1b5cca938,IMA T19,2025-10-01 03:24:26.969994+00
ACTIVE,2025-09-15,06:40:48,06:43:48,3,No,-,-,-,0e0cbfbf-8320-4f7b-b8b1-74ecd6bc03f5,IMA E06,2025-10-01 03:24:28.642092+00
INACTIVE,2025-09-29,23:29:26,00:00:00,31,No,-,-,-,0e0ee3f4-3ae1-47b3-b3ea-a37dbf3dbcaf,IMA T19,2025-10-01 03:24:28.198188+00
ACTIVE,2025-09-17,10:01:09,10:09:39,8,No,-,-,-,0e26980b-10bf-487f-8962-7fc5b16b6855,IMA T19,2025-10-01 03:24:22.877579+00
INACTIVE,2025-09-18,17:07:13,17:08:48,2,No,-,-,-,0e665b9f-439b-499e-bd22-a68478d7eec3,IMA E06,2025-10-01 03:24:30.005057+00
ACTIVE,2025-09-24,07:19:40,07:21:40,2,No,-,-,-,0e692301-d326-414c-8c53-3f1b0309817d,IMA E06,2025-10-01 03:24:32.188922+00
